DayofMonth,Price,High,Low
T May 11,853.50,853.50,853.50
W May 10,852.50,852.50,852.50
T May 9,852.00,852.00,852.00
M May 8,854.50,854.50,854.50
F May 5,849.50,849.50,849.50
T May 4,850.50,850.50,850.50
W May 3,857.00,857.00,857.00
T May 2,869.50,869.50,869.50
M May 1,874.50,874.50,874.50
F Apr 28,883.00,883.00,883.00
T Apr 27,889.00,889.00,889.00
